Product name,Price_per_unit,Rating,Rating_count,1 star count,2 star count,3 star count,4 star count,5 star count,Similar_product_1,Similar_product_price_1,Similar_product_2,Similar_product_price_2,Similar_product_3,Similar_product_price_3,Similar_product_4,Similar_product_price_4,Similar_product_5,Similar_product_price_5,Pros,Cons,product recommendation,recommendation_count,recommendation_percent
Barenjager Honey & Bourbon 750ml,28.99,5,8,0,0,0,0,8,Black Eagle Honey Bourbon 1.75L,19.99,Hofbrau Oktoberfestbier 5L,23.49,ABK6 Honey Cognac 750ml,24.99,Fidelitas Kirschwasser 750ml,25.99,Redemption Rye 750ml,27.99,{'flavor': '3 reviews'},,4 out of 4 (100%) of reviewers would recommend this product to a friend.,4,100
Etched Globe Whiskey Glasses - 2pk,24.99,4.5,2,0,0,0,1,1,Ultimate Whiskey Set,39.99,Corkcicle Whiskey Wedge,24.99,Globe Decanter with 2 Glasses,69.99,Etched Globe Decanter,39.99,On the Rocks Glass & Ice Ball,19.99,,,,,
Shinju Japanese Whisky 750ml,41.99,4.5,6,0,1,0,0,5,Hatozaki Finest Japanese Whisky 750ml,41.99,Bib & Tucker 6 Year Bourbon 750ml,52.99,Royal Tiger Indian Whisky 750ml,46.99,Kavanagh Irish Whiskey 1.75L,34.99,"Silver Ghost Cabernet Sauvignon Napa Valley , 2018 750ml",39.99,{'price': '2 reviews'},,2 out of 3 (67%) of reviewers would recommend this product to a friend.,2,67%
Monsho Pure Malt Whisky 750ml,59.99,4.5,22,0,0,3,4,15,The Shin Japanese Malt Whisky 15 Year 750ml,99.99,,,,,,,Shibui Pure Malt Whisky 750ml,69.99,{'satisfaction': '3 reviews'},,13 out of 15 (87%) of reviewers would recommend this product to a friend.,13,87%
Shibui Single Grain 18 Yr Whisky 750ml,339.99,4.8,6,0,0,0,1,5,Kujira 20 Year Ryukyu Whisky 750ml,59.99,Glenlivet Archive 21 Yr 750ml,49.99,Macallan Rare Cask 750ml,59.99,Casa Dragones Tequila Joven 750ml,94.99,"De Venoge Louis XV Gift w 2 Glasses, 1996 750ml",49.99,,,,,
Corkcicle Whiskey Wedge,24.99,5,5,0,0,0,0,5,On the Rocks Glass & Ice Ball,19.99,Tovolo - Sphere Ice Molds S/2,10.99,HOST Freeze Cooling Whisky Glasses,24.99,Ultimate Whiskey Set,39.99,Corkcicle Cigar Glass,24.99,,,,,
Cutwater Whiskey Mule 4pk-12oz cans,12.49,4.5,8,0,0,1,2,5,Eccentric Cabernet Sauvignon 750ml,,Carson Ridge Cabernet Sauvignon 750ml,11.99,Lone River Ranch Water Variety Pack 12pk-12oz Cans,16.99,Ed Edmundo Cabernet Sauvignon 750ml,,La Vostra Prosecco 750ml,10.99,,,,,
Togouchi 3 Year Blended Japanese Whisky 750ml,42.99,4.4,5,0,1,0,0,4,Hatozaki Finest Japanese Whisky 750ml,41.99,Shibui Grain Blend Whisky 750ml,59.99,Redemption Wheated Bourbon 750ml,44.99,Bib & Tucker 6 Year Bourbon 750ml,52.99,"Silver Ghost Cabernet Sauvignon Napa Valley , 2018 750ml",39.99,,,,,
Matsui Peated Cask Whisky 750ml,84.99,3,2,1,0,0,0,1,Tsarine Cuvee Adriana 750ml,94.99,The Shin Japanese Malt Whisky 15 Year 750ml,99.99,The Shin Japanese Malt Whisky 10 Year 750ml,79.99,Masterson's Rye Whiskey 10 Year 750ml,77.99,Casa Dragones Blanco 750ml,64.99,,,,,
Riedel Vinum Single Malt Whisky - 2Pk,64.99,4,1,0,0,0,1,0,Glencairn Whisky Glasses - 4pk,32.99,Riedel O Cabernet Buy 8 Pay 6,98.99,Ultimate Whiskey Set,39.99,Norlan Whisky Glass S/2,48,Redemption High Rye Bourbon 750ml,27.99,,,,,
